brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Brand_1871,brand1871.com,@brand1871,Real Estate,10,https://www.facebook.com/ads/library/?q=Brand_1871,Lead Form,5,2L,No highlights,contact@brand1871.com,1,2026-09-10T06:34:11.647985
Brand_2338,brand2338.com,@brand2338,Coach,13,https://www.facebook.com/ads/library/?q=Brand_2338,Website,3,3L,No highlights,contact@brand2338.com,1,2026-09-10T06:34:11.647989
Brand_1498,brand1498.com,@brand1498,Real Estate,51,https://www.facebook.com/ads/library/?q=Brand_1498,Website,3,2L,No UGC,contact@brand1498.com,1,2026-09-10T06:34:11.647992
Brand_0316,brand0316.com,@brand0316,Coach,89,https://www.facebook.com/ads/library/?q=Brand_0316,Lead Form,5,4L,No UGC,contact@brand0316.com,1,2026-09-10T06:34:11.648001
Brand_0929,brand0929.com,@brand0929,D2C Skincare,51,https://www.facebook.com/ads/library/?q=Brand_0929,Lead Form,5,8L,No UGC,contact@brand0929.com,1,2026-09-10T06:34:11.648004
Brand_0631,brand0631.com,@brand0631,D2C Bags,75,https://www.facebook.com/ads/library/?q=Brand_0631,Website,3,10L,No catalog,contact@brand0631.com,1,2026-09-10T06:34:11.648007
Brand_0942,brand0942.com,@brand0942,D2C Bags,57,https://www.facebook.com/ads/library/?q=Brand_0942,WhatsApp,5,2L,No catalog,contact@brand0942.com,1,2026-09-10T06:34:11.648019
Brand_0692,brand0692.com,@brand0692,D2C Bags,26,https://www.facebook.com/ads/library/?q=Brand_0692,Lead Form,5,6L,No UGC,contact@brand0692.com,1,2026-09-10T06:34:11.648022
Brand_0629,brand0629.com,@brand0629,Coach,85,https://www.facebook.com/ads/library/?q=Brand_0629,Website,3,8L,Slow site,contact@brand0629.com,1,2026-09-10T06:34:11.648025
Brand_2207,brand2207.com,@brand2207,Real Estate,12,https://www.facebook.com/ads/library/?q=Brand_2207,Lead Form,7,9L,Static only,contact@brand2207.com,1,2026-09-10T06:34:11.648030
Brand_0730,brand0730.com,@brand0730,Real Estate,29,https://www.facebook.com/ads/library/?q=Brand_0730,WhatsApp,7,2L,Static only,contact@brand0730.com,1,2026-09-10T06:34:11.648033
Brand_1423,brand1423.com,@brand1423,D2C Skincare,8,https://www.facebook.com/ads/library/?q=Brand_1423,Website,4,2L,Static only,contact@brand1423.com,1,2026-09-10T06:34:11.648036
Brand_1246,brand1246.com,@brand1246,Clinic,9,https://www.facebook.com/ads/library/?q=Brand_1246,Website,4,2L,Static only,contact@brand1246.com,1,2026-09-10T06:34:11.648039
Brand_0175,brand0175.com,@brand0175,Clinic,27,https://www.facebook.com/ads/library/?q=Brand_0175,Website,3,7L,No highlights,contact@brand0175.com,1,2026-09-10T06:34:11.648043
Brand_2147,brand2147.com,@brand2147,D2C Skincare,25,https://www.facebook.com/ads/library/?q=Brand_2147,WhatsApp,5,4L,No highlights,contact@brand2147.com,1,2026-09-10T06:34:11.648047
Just Herbs,justherbs.in,@justherbsindia,Skincare,92,https://www.facebook.com/ads/library/?q=Just Herbs,Website,3,30-50L,"92 ads, 75% off",contact@justherbs.in,1,2026-09-10T06:34:11.648051
Brand_0305,brand0305.com,@brand0305,D2C Bags,40,https://www.facebook.com/ads/library/?q=Brand_0305,WhatsApp,7,10L,Static only,contact@brand0305.com,1,2026-09-10T06:34:11.648054
Brand_1644,brand1644.com,@brand1644,D2C Skincare,7,https://www.facebook.com/ads/library/?q=Brand_1644,Website,2,6L,No UGC,contact@brand1644.com,1,2026-09-10T06:34:11.648057
Brand_0457,brand0457.com,@brand0457,D2C Skincare,34,https://www.facebook.com/ads/library/?q=Brand_0457,Lead Form,7,10L,Static only,contact@brand0457.com,1,2026-09-10T06:34:11.648060
Brand_2394,brand2394.com,@brand2394,Clinic,45,https://www.facebook.com/ads/library/?q=Brand_2394,Lead Form,5,10L,No UGC,contact@brand2394.com,1,2026-09-10T06:34:11.648065
Brand_1300,brand1300.com,@brand1300,D2C Bags,23,https://www.facebook.com/ads/library/?q=Brand_1300,Lead Form,5,2L,No catalog,contact@brand1300.com,1,2026-09-10T06:34:11.648069
Brand_2522,brand2522.com,@brand2522,Real Estate,13,https://www.facebook.com/ads/library/?q=Brand_2522,WhatsApp,5,5L,No highlights,contact@brand2522.com,1,2026-09-10T06:34:11.648072
Brand_0244,brand0244.com,@brand0244,Clinic,68,https://www.facebook.com/ads/library/?q=Brand_0244,Website,3,3L,No catalog,contact@brand0244.com,1,2026-09-10T06:34:11.648075
Brand_0866,brand0866.com,@brand0866,D2C Bags,15,https://www.facebook.com/ads/library/?q=Brand_0866,Website,5,8L,Static only,contact@brand0866.com,1,2026-09-10T06:34:11.648078
Brand_1464,brand1464.com,@brand1464,Real Estate,54,https://www.facebook.com/ads/library/?q=Brand_1464,Lead Form,5,1L,No UGC,contact@brand1464.com,1,2026-09-10T06:34:11.648081
Brand_2127,brand2127.com,@brand2127,D2C Skincare,26,https://www.facebook.com/ads/library/?q=Brand_2127,WhatsApp,5,3L,No UGC,contact@brand2127.com,1,2026-09-10T06:34:11.648084
Brand_0694,brand0694.com,@brand0694,Clinic,86,https://www.facebook.com/ads/library/?q=Brand_0694,Website,3,1L,No highlights,contact@brand0694.com,1,2026-09-10T06:34:11.648087
