brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Boult Audio,boultaudio.com,@boultaudio,D2C Audio,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Boult%20Audio,Website,5,1-2 Cr,"Static spec sheets, real-use demo missing",care@boultaudio.com,1,2026-09-11T14:08:31.798636
Godrej Properties,godrejproperties.com,@godrejproperties,Real Estate,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Godrej%20Properties,Lead Form,5,40-80L,"Brochure-style ads, resident-story UGC missing",care@godrejproperties.com,1,2026-09-11T14:08:31.798639
HealthKart,healthkart.com,@healthkart,Wellness,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HealthKart,Website,5,50-80L,"Supplement static, transformation Reels thin",care@healthkart.com,1,2026-09-11T14:08:31.798641
The Man Company,themancompany.com,@themancocom,Men's Grooming,52,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Man%20Company,Website,3,1-2 Cr,Fragrance SKUs lack video demos,care@themancompany.com,1,2026-09-11T14:08:31.798644
RENEE Cosmetics,reneecosmetics.in,@reneeofficial,Beauty,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=RENEE%20Cosmetics,Website,5,50-80L,"Lipstick SKUs static-heavy, weak Reels",care@reneecosmetics.in,1,2026-09-11T14:08:31.798646
BlissClub,blissclub.com,@blissclub_,Athleisure,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=BlissClub,Website,3,60-90L,"Legging demo UGC thin, fit-test gaps",care@blissclub.com,1,2026-09-11T14:08:31.798648
Kaya Clinic,kaya.in,@kayaclinic,Clinic,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Kaya%20Clinic,Lead Form,5,50-80L,"Derm procedures lack demo Reels, WhatsApp follow-up slow",care@kaya.in,1,2026-09-11T14:08:31.798651
Pilgrim,pilgrimcosmetics.com,@discover.pilgrim,Skincare,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pilgrim,Website,3,50-80L,"Mostly UGC selfies, no demo videos",care@pilgrimcosmetics.com,1,2026-09-11T14:08:31.798654
Pepperfry,pepperfry.com,@pepperfry,Home/Furniture,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pepperfry,Website,3,50-80L,"Catalog-led, room-set UGC thin",care@pepperfry.com,1,2026-09-11T14:08:31.798656
Prestige Group,prestigegroup.com,@prestigegroup,Real Estate,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Prestige%20Group,Lead Form,7,30-60L,"Project launches heavy static, site-tour Reels thin",care@prestigegroup.com,1,2026-09-11T14:08:31.798659
Plix,plixlife.com,@plixlife,Wellness,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plix,Website,5,1-2 Cr,"Plant-protein static, taste-test UGC low",care@plixlife.com,1,2026-09-11T14:08:31.798662
Deconstruct,deconstructskincare.com,@deconstructskin,Skincare,46,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Deconstruct,Website,3,40-60L,"50% off flight, creative refresh lapsed",care@deconstructskincare.com,1,2026-09-11T14:08:31.798664
DaMENSCH,damensch.com,@damensch,D2C Fashion,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=DaMENSCH,Website,3,50-80L,Innerwear lacks fit-test videos,care@damensch.com,1,2026-09-11T14:08:31.798666
Sleepy Owl Coffee,sleepyowl.co,@sleepyowlin,F&B/Beverage,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Sleepy%20Owl%20Coffee,Website,3,1-2 Cr,Brew demo UGC under-used,care@sleepyowl.co,1,2026-09-11T14:08:31.798669
VLCC Wellness,vlccwellness.com,@vlccwellness,Clinic,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=VLCC%20Wellness,Lead Form,5,40-70L,"Offer-led, treatment-journey UGC low",care@vlccwellness.com,1,2026-09-11T14:08:31.798672
Swiss Beauty,swissbeauty.in,@swissbeauty.in,Beauty,44,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Swiss%20Beauty,Website,3,30-50L,"Bundle offer, no UGC",care@swissbeauty.in,1,2026-09-11T14:08:31.798674
Aqualogica,aqualogica.in,@aqualogica,Skincare,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Aqualogica,Website,5,30-60L,"Static-heavy, code-gated offers",care@aqualogica.in,1,2026-09-11T14:08:31.798677
Wooden Street,woodenstreet.com,@woodenstreet,Home/Furniture,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wooden%20Street,Lead Form,5,40-70L,"Lead-form heavy, AR/3D demo missing",care@woodenstreet.com,1,2026-09-11T14:08:31.798680
Happilo,happilo.com,@happiloindia,F&B/Snacks,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Happilo,Website,5,40-70L,"Dry-fruit static, snacking-ritual UGC gap",care@happilo.com,1,2026-09-11T14:08:31.798682
MARS Cosmetics,marscosmetics.in,@marscosmetics,Beauty,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=MARS%20Cosmetics,Website,3,20-40L,"Free-gift mechanic, low video volume",care@marscosmetics.in,1,2026-09-11T14:08:31.798685
Skybags,skybags.co.in,@skybags,D2C Bags,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Skybags,Website,5,1-2 Cr,"Hero creatives static, travel vlog UGC gap",care@skybags.co.in,1,2026-09-11T14:08:31.798687
Rage Coffee,ragecoffee.com,@ragecoffee,F&B/Beverage,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Rage%20Coffee,Website,3,40-70L,Flavour drops lack Reels,care@ragecoffee.com,1,2026-09-11T14:08:31.798690
Perfect 5 Clinic,perfect5clinic.com,@perfect5clinic,Clinic,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Perfect%205%20Clinic,WhatsApp,5,20-40L,"Founder-led only, patient testimonial variety low",care@perfect5clinic.com,1,2026-09-11T14:08:31.798692
Foxtale,foxtale.in,@foxtale.in,Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Foxtale,Website,3,40-70L,"Founder-heavy creative, no influencer mix",care@foxtale.in,1,2026-09-11T14:08:31.798695
