brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Boult Audio,boultaudio.com,@boultaudio,D2C Audio,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Boult%20Audio,Website,5,1-2 Cr,"Static spec sheets, real-use demo missing",care@boultaudio.com,1,2026-09-11T14:08:31.798636
Godrej Properties,godrejproperties.com,@godrejproperties,Real Estate,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Godrej%20Properties,Lead Form,5,40-80L,"Brochure-style ads, resident-story UGC missing",care@godrejproperties.com,1,2026-09-11T14:08:31.798639
HealthKart,healthkart.com,@healthkart,Wellness,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HealthKart,Website,5,50-80L,"Supplement static, transformation Reels thin",care@healthkart.com,1,2026-09-11T14:08:31.798641
The Man Company,themancompany.com,@themancocom,Men's Grooming,52,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Man%20Company,Website,3,1-2 Cr,Fragrance SKUs lack video demos,care@themancompany.com,1,2026-09-11T14:08:31.798644
RENEE Cosmetics,reneecosmetics.in,@reneeofficial,Beauty,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=RENEE%20Cosmetics,Website,5,50-80L,"Lipstick SKUs static-heavy, weak Reels",care@reneecosmetics.in,1,2026-09-11T14:08:31.798646
BlissClub,blissclub.com,@blissclub_,Athleisure,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=BlissClub,Website,3,60-90L,"Legging demo UGC thin, fit-test gaps",care@blissclub.com,1,2026-09-11T14:08:31.798648
Kaya Clinic,kaya.in,@kayaclinic,Clinic,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Kaya%20Clinic,Lead Form,5,50-80L,"Derm procedures lack demo Reels, WhatsApp follow-up slow",care@kaya.in,1,2026-09-11T14:08:31.798651
Pilgrim,pilgrimcosmetics.com,@discover.pilgrim,Skincare,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pilgrim,Website,3,50-80L,"Mostly UGC selfies, no demo videos",care@pilgrimcosmetics.com,1,2026-09-11T14:08:31.798654
Pepperfry,pepperfry.com,@pepperfry,Home/Furniture,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pepperfry,Website,3,50-80L,"Catalog-led, room-set UGC thin",care@pepperfry.com,1,2026-09-11T14:08:31.798656
Prestige Group,prestigegroup.com,@prestigegroup,Real Estate,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Prestige%20Group,Lead Form,7,30-60L,"Project launches heavy static, site-tour Reels thin",care@prestigegroup.com,1,2026-09-11T14:08:31.798659
Plix,plixlife.com,@plixlife,Wellness,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plix,Website,5,1-2 Cr,"Plant-protein static, taste-test UGC low",care@plixlife.com,1,2026-09-11T14:08:31.798662
Deconstruct,deconstructskincare.com,@deconstructskin,Skincare,46,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Deconstruct,Website,3,40-60L,"50% off flight, creative refresh lapsed",care@deconstructskincare.com,1,2026-09-11T14:08:31.798664
DaMENSCH,damensch.com,@damensch,D2C Fashion,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=DaMENSCH,Website,3,50-80L,Innerwear lacks fit-test videos,care@damensch.com,1,2026-09-11T14:08:31.798666
Sleepy Owl Coffee,sleepyowl.co,@sleepyowlin,F&B/Beverage,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Sleepy%20Owl%20Coffee,Website,3,1-2 Cr,Brew demo UGC under-used,care@sleepyowl.co,1,2026-09-11T14:08:31.798669
VLCC Wellness,vlccwellness.com,@vlccwellness,Clinic,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=VLCC%20Wellness,Lead Form,5,40-70L,"Offer-led, treatment-journey UGC low",care@vlccwellness.com,1,2026-09-11T14:08:31.798672
Swiss Beauty,swissbeauty.in,@swissbeauty.in,Beauty,44,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Swiss%20Beauty,Website,3,30-50L,"Bundle offer, no UGC",care@swissbeauty.in,1,2026-09-11T14:08:31.798674
Aqualogica,aqualogica.in,@aqualogica,Skincare,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Aqualogica,Website,5,30-60L,"Static-heavy, code-gated offers",care@aqualogica.in,1,2026-09-11T14:08:31.798677
Wooden Street,woodenstreet.com,@woodenstreet,Home/Furniture,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wooden%20Street,Lead Form,5,40-70L,"Lead-form heavy, AR/3D demo missing",care@woodenstreet.com,1,2026-09-11T14:08:31.798680
Happilo,happilo.com,@happiloindia,F&B/Snacks,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Happilo,Website,5,40-70L,"Dry-fruit static, snacking-ritual UGC gap",care@happilo.com,1,2026-09-11T14:08:31.798682
MARS Cosmetics,marscosmetics.in,@marscosmetics,Beauty,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=MARS%20Cosmetics,Website,3,20-40L,"Free-gift mechanic, low video volume",care@marscosmetics.in,1,2026-09-11T14:08:31.798685
Skybags,skybags.co.in,@skybags,D2C Bags,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Skybags,Website,5,1-2 Cr,"Hero creatives static, travel vlog UGC gap",care@skybags.co.in,1,2026-09-11T14:08:31.798687
Rage Coffee,ragecoffee.com,@ragecoffee,F&B/Beverage,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Rage%20Coffee,Website,3,40-70L,Flavour drops lack Reels,care@ragecoffee.com,1,2026-09-11T14:08:31.798690
Perfect 5 Clinic,perfect5clinic.com,@perfect5clinic,Clinic,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Perfect%205%20Clinic,WhatsApp,5,20-40L,"Founder-led only, patient testimonial variety low",care@perfect5clinic.com,1,2026-09-11T14:08:31.798692
Foxtale,foxtale.in,@foxtale.in,Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Foxtale,Website,3,40-70L,"Founder-heavy creative, no influencer mix",care@foxtale.in,1,2026-09-11T14:08:31.798695
Unacademy,unacademy.com,@unacademy,Edtech/Coach,90,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Unacademy,Website,3,2-4 Cr,"Influencer-led, student-story UGC thin",care@unacademy.com,2,2026-09-12T04:22:42.261268
PharmEasy,pharmeasy.in,@pharmeasyapp,Health e-commerce,70,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=PharmEasy,Website,3,1-2 Cr,"Discount-heavy, trust UGC gap",care@pharmeasy.in,2,2026-09-12T04:22:42.261268
Livspace,livspace.com,@livspace,Home Interiors,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Livspace,Lead Form,5,2-4 Cr,"Lead-form heavy, 3D walkthrough UGC gap",care@livspace.com,2,2026-09-12T04:22:42.261268
Man Matters,manmatters.com,@manmattersindia,Men's Wellness,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Man%20Matters,Website,3,1-2 Cr,"Consult-led, testimonial Reels thin",care@manmatters.com,2,2026-09-12T04:22:42.261268
Tata 1mg,1mg.com,@1mgofficial,Health e-commerce,60,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Tata%201mg,Website,3,1-2 Cr,"Deal-led, consult-story UGC thin",care@1mg.com,2,2026-09-12T04:22:42.261268
Campus,campusshoes.com,@campusshoes,Footwear,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Campus,Website,5,1-2 Cr,"Hero-led static, walk-test UGC low",care@campusshoes.com,2,2026-09-12T04:22:42.261268
GIVA,giva.co,@giva.co,Jewelry,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=GIVA,Website,5,60-90L,"Silver static-heavy, stack-ritual UGC thin",care@giva.co,2,2026-09-12T04:22:42.261268
Urban Company,urbancompany.com,@urbancompany,Home Services,55,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Urban%20Company,Website,3,2-3 Cr,"Service-led, before/after UGC thin",care@urbancompany.com,2,2026-09-12T04:22:42.261268
Fire-Boltt,fireboltt.com,@fireboltt,D2C Wearables,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Fire-Boltt,Website,5,40-80L,"Spec-led static, lifestyle UGC thin",care@fireboltt.com,2,2026-09-12T04:22:42.261268
Kapiva,kapiva.in,@kapiva_ayurveda,Ayurveda/Nutrition,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Kapiva,Website,5,60-90L,"Ayurvedic ritual UGC gap, static-heavy",care@kapiva.in,2,2026-09-12T04:22:42.261268
Pristyn Care,pristyncare.com,@pristyncare,Healthcare,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Pristyn%20Care,Lead Form,5,1-2 Cr,"Surgery journey UGC gap, generic retargeting",care@pristyncare.com,2,2026-09-12T04:22:42.261268
Simplilearn,simplilearn.com,@simplilearn_elearning,Edtech/Coach,50,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Simplilearn,Website,3,1-2 Cr,"Certification-led, career-outcome UGC gap",care@simplilearn.com,2,2026-09-12T04:22:42.261268
Bella Vita Organic,bellavitaorganic.com,@bellavitaorganic,Beauty/Perfume,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bella%20Vita%20Organic,Website,5,40-70L,"Perfume SKUs static-heavy, scent-story UGC thin",care@bellavitaorganic.com,2,2026-09-12T04:22:42.261268
HomeLane,homelane.com,@homelane,Home Interiors,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HomeLane,Lead Form,7,1-2 Cr,"Before/after static, video tours thin",care@homelane.com,2,2026-09-12T04:22:42.261268
Libas,libas.in,@libasindia,Ethnic Wear,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Libas,Website,5,1-2 Cr,"Lookbook static, try-on Reels thin",care@libas.in,2,2026-09-12T04:22:42.261268
Lodha,lodhagroup.com,@lodhagroup,Real Estate,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Lodha,Lead Form,7,60-90L,"Project static, lifestyle video gap",care@lodhagroup.com,2,2026-09-12T04:22:42.261268
Nutrabay,nutrabay.com,@nutrabay,Sports Nutrition,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Nutrabay,Website,3,50-80L,"Price-led, result-story UGC thin",care@nutrabay.com,2,2026-09-12T04:22:42.261268
Vedantu,vedantu.com,@vedantu.learn,Edtech/Coach,45,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Vedantu,Website,3,1-2 Cr,"Live-class demo thin, testimonial UGC low",care@vedantu.com,2,2026-09-12T04:22:42.261268
Atomberg,atomberg.com,@atombergtech,Home Appliances,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Atomberg,Website,3,50-80L,"Tech demo overused, home-use UGC gap",care@atomberg.com,2,2026-09-12T04:22:42.261268
Biba,biba.in,@biba.in,Ethnic Wear,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Biba,Website,5,1-2 Cr,"Festive static, styling UGC low",care@biba.in,2,2026-09-12T04:22:42.261268
Dr. Sheth's,drshc.com,@drshths,D2C Skincare,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr.%20Sheth's,Website,3,40-60L,"Derm-led but offer-heavy, demo Reels thin",care@drshc.com,2,2026-09-12T04:22:42.261268
Duroflex,duroflexworld.com,@duroflexworld,Sleep/Mattress,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Duroflex,Website,3,1-2 Cr,"Celebrity-led, customer-story UGC low",care@duroflexworld.com,2,2026-09-12T04:22:42.261268
Furlenco,furlenco.com,@furlenco,Furniture Rental,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Furlenco,Website,3,50-80L,"Rental value prop, room-tour UGC thin",care@furlenco.com,2,2026-09-12T04:22:42.261268
Oziva,oziva.in,@oziva.wellness,Nutrition,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Oziva,Website,5,40-70L,"Plant-protein static, taste-test gap",care@oziva.in,2,2026-09-12T04:22:42.261268
Powerlook,powerlook.in,@powerlook.in,D2C Fashion,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Powerlook,Website,5,40-70L,"Menswear static, fit-test Reels missing",care@powerlook.in,2,2026-09-12T04:22:42.261268
Scaler,scaler.com,@scaler.technology,Edtech/Coach,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Scaler,Website,3,1-2 Cr,"Alumni story UGC thin, offer-led",care@scaler.com,2,2026-09-12T04:22:42.261268
The Moms Co,themomsco.com,@themomsco,Baby Care,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Moms%20Co,Website,3,40-70L,"Safety story strong, demo UGC low",care@themomsco.com,2,2026-09-12T04:22:42.261268
Toothsi,toothsi.in,@toothsi,Dental/Aligners,40,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Toothsi,Lead Form,5,40-70L,"Smile-makeover demo thin, review UGC low",care@toothsi.in,2,2026-09-12T04:22:42.261268
Beyoung,beyoung.in,@beyoung.in,D2C Fashion,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Beyoung,Website,5,20-40L,"Graphic tee static, no haul Reels",care@beyoung.in,2,2026-09-12T04:22:42.261268
Earth Rhythm,earthrhythm.com,@earthrhythm,Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Earth%20Rhythm,Website,3,20-40L,"Discount flights, routine demo UGC gap",care@earthrhythm.com,2,2026-09-12T04:22:42.261268
Caprese,capresebags.com,@capresebags,D2C Bags,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Caprese,Website,3,1-2 Cr,"Catalog ads only, no lifestyle UGC",care@capresebags.com,2,2026-09-12T04:22:42.261268
Dot & Key,dotandkey.skincare,@dotandkey,Skincare,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dot%20&%20Key,Website,5,20-40L,"Static packs, no demo",care@dotandkey.skincare,2,2026-09-12T04:22:42.261268
Heads Up For Tails,headsupfortails.com,@headsupfortails,Pet Care,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Heads%20Up%20For%20Tails,Website,3,40-70L,"Product-led, pet-parent UGC thin",care@headsupfortails.com,2,2026-09-12T04:22:42.261268
HealthifyMe,healthifyme.com,@healthifyme,Fitness Coach,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HealthifyMe,Website,5,30-50L,"Coach-led static, transformation UGC thin",care@healthifyme.com,2,2026-09-12T04:22:42.261268
Indira IVF,indiraivf.in,@indiraivf,IVF Clinic,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Indira%20IVF,Lead Form,5,50-80L,"Success-story UGC thin, empathetic demo gap",care@indiraivf.in,2,2026-09-12T04:22:42.261268
Juicy Chemistry,juicychemistry.com,@juicy_chemistry,D2C Skincare,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Juicy%20Chemistry,Website,3,30-50L,"Organic story strong, UGC volume low",care@juicychemistry.com,2,2026-09-12T04:22:42.261268
Red Chief,redchief.in,@redchiefshoes,Footwear,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Red%20Chief,Website,5,40-70L,"Durability demo missing, static posters",care@redchief.in,2,2026-09-12T04:22:42.261268
SleepyCat,sleepycat.in,@sleepycatindia,Home/Furniture,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=SleepyCat,Website,5,30-60L,"Static offer ads, video unboxing missing",care@sleepycat.in,2,2026-09-12T04:22:42.261268
Slurrp Farm,slurrpfarm.com,@slurrpfarm,Kids Food,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Slurrp%20Farm,Website,3,40-70L,"Mom-testimonial gap, demo Reels missing",care@slurrpfarm.com,2,2026-09-12T04:22:42.261268
Vahdam Teas,vahdam.com,@vahdamteas,F&B/Beverage,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Vahdam%20Teas,Website,3,30-60L,"Tea ritual Reels thin, gifting catalog only",care@vahdam.com,2,2026-09-12T04:22:42.261268
Wellbeing Nutrition,wellbeingnutrition.com,@wellbeingnutrition,Wellness,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wellbeing%20Nutrition,Website,3,30-60L,"Slow site, doctor-explainer videos missing",care@wellbeingnutrition.com,2,2026-09-12T04:22:42.261268
Urban Monkey,urbanmonkey.com,@urbanmonkeyindia,Streetwear,33,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Urban%20Monkey,Website,3,30-50L,Drop hype but thin Reel variety,care@urbanmonkey.com,2,2026-09-12T04:22:42.261268
Bare Anatomy,bareanatomy.in,@bareanatomy,Haircare,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bare%20Anatomy,Website,5,20-40L,"Before/after static only, no video demos",care@bareanatomy.in,2,2026-09-12T04:22:42.261268
Blue Tokai Coffee,bluetokaicoffee.com,@bluetokai,F&B/Beverage,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Blue%20Tokai%20Coffee,Website,3,30-50L,Subscriptions lack how-to UGC,care@bluetokaicoffee.com,2,2026-09-12T04:22:42.261268
Bombay Shaving Co,bombayshavingcompany.com,@bombayshavingco,Men's Grooming,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bombay%20Shaving%20Co,Website,5,30-50L,"Mostly static, razor demo gaps",care@bombayshavingcompany.com,2,2026-09-12T04:22:42.261268
DLF,dlf.in,@dlf_ltd,Real Estate,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=DLF,Lead Form,5,50-80L,"Brochure ads, site-tour video thin",care@dlf.in,2,2026-09-12T04:22:42.261268
Dr. Lal PathLabs,lalpathlabs.com,@lalpathlabs,Diagnostics,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr.%20Lal%20PathLabs,Website,5,50-80L,"Test-offer static, health-check UGC low",care@lalpathlabs.com,2,2026-09-12T04:22:42.261268
Melorra,melorra.com,@melorraofficial,Jewelry,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Melorra,Website,3,20-40L,Everyday wear demo thin,care@melorra.com,2,2026-09-12T04:22:42.261268
Mokobara,mokobara.com,@mokobara,Travel Bags,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mokobara,Website,3,80L-1.2Cr,"Premium look, packing-demo UGC thin",care@mokobara.com,2,2026-09-12T04:22:42.261268
True Elements,true-elements.com,@true.elements,F&B/Nutrition,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=True%20Elements,Website,3,20-40L,"Clean-label story, recipe UGC thin",care@true-elements.com,2,2026-09-12T04:22:42.261268
