brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Heads Up For Tails,headsupfortails.com,@headsupfortails,Pet Care,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Heads%20Up%20For%20Tails,Website,3,40-70L,"Product-led, pet-parent UGC thin",care@headsupfortails.com,2,2026-09-12T04:22:42.261268
HealthifyMe,healthifyme.com,@healthifyme,Fitness Coach,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=HealthifyMe,Website,5,30-50L,"Coach-led static, transformation UGC thin",care@healthifyme.com,2,2026-09-12T04:22:42.261268
Indira IVF,indiraivf.in,@indiraivf,IVF Clinic,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Indira%20IVF,Lead Form,5,50-80L,"Success-story UGC thin, empathetic demo gap",care@indiraivf.in,2,2026-09-12T04:22:42.261268
Juicy Chemistry,juicychemistry.com,@juicy_chemistry,D2C Skincare,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Juicy%20Chemistry,Website,3,30-50L,"Organic story strong, UGC volume low",care@juicychemistry.com,2,2026-09-12T04:22:42.261268
Red Chief,redchief.in,@redchiefshoes,Footwear,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Red%20Chief,Website,5,40-70L,"Durability demo missing, static posters",care@redchief.in,2,2026-09-12T04:22:42.261268
SleepyCat,sleepycat.in,@sleepycatindia,Home/Furniture,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=SleepyCat,Website,5,30-60L,"Static offer ads, video unboxing missing",care@sleepycat.in,2,2026-09-12T04:22:42.261268
Slurrp Farm,slurrpfarm.com,@slurrpfarm,Kids Food,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Slurrp%20Farm,Website,3,40-70L,"Mom-testimonial gap, demo Reels missing",care@slurrpfarm.com,2,2026-09-12T04:22:42.261268
Vahdam Teas,vahdam.com,@vahdamteas,F&B/Beverage,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Vahdam%20Teas,Website,3,30-60L,"Tea ritual Reels thin, gifting catalog only",care@vahdam.com,2,2026-09-12T04:22:42.261268
Wellbeing Nutrition,wellbeingnutrition.com,@wellbeingnutrition,Wellness,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wellbeing%20Nutrition,Website,3,30-60L,"Slow site, doctor-explainer videos missing",care@wellbeingnutrition.com,2,2026-09-12T04:22:42.261268
Urban Monkey,urbanmonkey.com,@urbanmonkeyindia,Streetwear,33,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Urban%20Monkey,Website,3,30-50L,Drop hype but thin Reel variety,care@urbanmonkey.com,2,2026-09-12T04:22:42.261268
Bare Anatomy,bareanatomy.in,@bareanatomy,Haircare,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bare%20Anatomy,Website,5,20-40L,"Before/after static only, no video demos",care@bareanatomy.in,2,2026-09-12T04:22:42.261268
Blue Tokai Coffee,bluetokaicoffee.com,@bluetokai,F&B/Beverage,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Blue%20Tokai%20Coffee,Website,3,30-50L,Subscriptions lack how-to UGC,care@bluetokaicoffee.com,2,2026-09-12T04:22:42.261268
Bombay Shaving Co,bombayshavingcompany.com,@bombayshavingco,Men's Grooming,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Bombay%20Shaving%20Co,Website,5,30-50L,"Mostly static, razor demo gaps",care@bombayshavingcompany.com,2,2026-09-12T04:22:42.261268
DLF,dlf.in,@dlf_ltd,Real Estate,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=DLF,Lead Form,5,50-80L,"Brochure ads, site-tour video thin",care@dlf.in,2,2026-09-12T04:22:42.261268
Dr. Lal PathLabs,lalpathlabs.com,@lalpathlabs,Diagnostics,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dr.%20Lal%20PathLabs,Website,5,50-80L,"Test-offer static, health-check UGC low",care@lalpathlabs.com,2,2026-09-12T04:22:42.261268
Melorra,melorra.com,@melorraofficial,Jewelry,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Melorra,Website,3,20-40L,Everyday wear demo thin,care@melorra.com,2,2026-09-12T04:22:42.261268
Mokobara,mokobara.com,@mokobara,Travel Bags,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mokobara,Website,3,80L-1.2Cr,"Premium look, packing-demo UGC thin",care@mokobara.com,2,2026-09-12T04:22:42.261268
True Elements,true-elements.com,@true.elements,F&B/Nutrition,30,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=True%20Elements,Website,3,20-40L,"Clean-label story, recipe UGC thin",care@true-elements.com,2,2026-09-12T04:22:42.261268
