brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,found_at
Just Herbs,justherbs.in,@justherbsindia,Skincare,92,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Just%20Herbs,Website,4,30-50L,"92 ads, 75% off desperate discounting",contact@justherbs.in,2026-09-10T05:38:26.431146
Noise,gonoise.com,@gonoise,Audio,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Noise,Website,4,3-4 Cr,"3-4 Cr spend, 3.0-3.8x ROAS",contact@gonoise.com,2026-09-10T05:38:26.431149
The Derma Co,thedermaco.com,@thedermaco,Skincare,34,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Derma%20Co,Website,4,3-4 Cr,"Free combo offer, no dermatologist authority creative",contact@thedermaco.com,2026-09-10T05:38:26.431160
Deconstruct,deconstruct.in,@deconstruct_skincare,Skincare,48,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Deconstruct,Website,4,20-30L,46 of 48 refreshed Aug 17 = no winner,contact@deconstruct.in,2026-09-10T05:38:26.431162
Earth Rhythm,earthrhythm.com,@earthrhythm,Skincare,42,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Earth%20Rhythm,Website,4,15-20L,"Up to 30% off - mid-depth cut, 42-new-ad flight",contact@earthrhythm.com,2026-09-10T05:38:26.431174
Sobha,sobha.com,@sobha,Real Estate,18,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Sobha,Lead Form,4,8-12L,18 ads luxury but same creative,contact@sobha.com,2026-09-10T05:38:26.431177
mCaffeine,mcaffeine.com,@mcaffeineofficial,Skincare,38,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=mCaffeine,Website,4,2-3 Cr,"Same BOGO angle, no testimonial",contact@mcaffeine.com,2026-09-10T05:38:26.431190
Wakefit,wakefit.co,@wakefit,Sleep,35,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Wakefit,Website,4,4-6 Cr,35 ads heavy spender,contact@wakefit.co,2026-09-10T05:38:26.431199
VLCC Bangalore,vlccwellness.com,@vlccindia,Wellness,15,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=VLCC%20Bangalore,WhatsApp,4,2-3L,15 ads discount only,contact@vlccwellness.com,2026-09-10T05:38:26.431201
The Whole Truth,thewholetruthfoods.com,@thewholetruthfoods,Nutrition,24,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Whole%20Truth,Website,4,2-3 Cr,Good brand but no subscription angle in ads,contact@thewholetruthfoods.com,2026-09-10T05:38:26.431206
Yogabar,yogabars.in,@yogabars,Nutrition,19,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Yogabar,Website,3,2-3 Cr,10% search decline - needs creative refresh,contact@yogabars.in,2026-09-10T05:38:26.431101
Mokobara,mokobara.com,@mokobara,Travel Bags,16,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mokobara,Website,3,80L-1.2Cr,Good UGC but 80% discount angle - missing gifting,contact@mokobara.com,2026-09-10T05:38:26.431115
Plix,plixlife.com,@plixlife,Nutrition,16,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Plix,Website,3,1-2 Cr,1-2 Cr spend but same angle,contact@plixlife.com,2026-09-10T05:38:26.431118
Fitness Coach Bangalore,fitcoach.com,@fitcoachblr,Fitness Coach,6,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Fitness%20Coach%20Bangalore,WhatsApp,3,30-50k,6 ads transformation missing,contact@fitcoach.com,2026-09-10T05:38:26.431121
Dental Solutions Bangalore,dentalsolutions.com,@dentalsolutionsblr,Dental Clinic,5,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Dental%20Solutions%20Bangalore,WhatsApp,3,50k-1L,"5 ads Welcome poster, no hook",contact@dentalsolutions.com,2026-09-10T05:38:26.431134
Skybags,skybags.com,@skybags,Bags,12,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Skybags,Website,3,1-2 Cr,12 ads discount only,contact@skybags.com,2026-09-10T05:38:26.431139
Aqualogica,aqualogica.in,@aqualogica,Skincare,18,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Aqualogica,Website,3,10-15L,Code-gated GLOW20 - weak offer,contact@aqualogica.in,2026-09-10T05:38:26.431151
Boult,boultaudio.com,@boult,Audio,18,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Boult,Website,3,1-2 Cr,18 ads same as BoAt,contact@boultaudio.com,2026-09-10T05:38:26.431169
Atomberg,atomberg.com,@atomberg,Appliances,14,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Atomberg,Website,3,1-2 Cr,14 ads tech specs no lifestyle,contact@atomberg.com,2026-09-10T05:38:26.431197
Digital Marketing Coach,example.com,@dmcoach,Coach,7,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Digital%20Marketing%20Coach,Webinar,2,50k-1L,7 ads free masterclass no social proof,contact@example.com,2026-09-10T05:38:26.431096
Propsoch,propsoch.club,@propsoch.club,Real Estate Platform,6,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Propsoch,Website,2,1-2L,"6 ads only, landing not optimized",contact@propsoch.club,2026-09-10T05:38:26.431155
Trading with CA,tradingwithca.com,@tradingwithca,Finance Coach,9,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Trading%20with%20CA,Webinar,2,1-2L,9 ads webinar funnel 2015 design,contact@tradingwithca.com,2026-09-10T05:38:26.431179
Sugar Cosmetics,sugarcosmetics.com,@trysugar,Beauty,65,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Sugar%20Cosmetics,Website,1,5-7 Cr,65 ads heavy spender enterprise,contact@sugarcosmetics.com,2026-09-10T05:38:26.431110
The Souled Store,thesouledstore.com,@thesouledstore,Apparel,52,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=The%20Souled%20Store,Website,1,3-4 Cr,52 ads - heavy but enterprise,contact@thesouledstore.com,2026-09-10T05:38:26.431182
BoAt,boat-lifestyle.com,@boat.nirvana,Audio,72,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=BoAt,Website,1,6-8 Cr,72 ads enterprise - hard close,contact@boat-lifestyle.com,2026-09-10T05:38:26.431187
Mamaearth,mamaearth.in,@mamaearth,Personal Care,85,https://www.facebook.com/ads/library/?active_status=active&country=IN&q=Mamaearth,Website,1,8-10 Cr,"Enterprise - hard to close, but 20 ads sampled only - thin",contact@mamaearth.in,2026-09-10T05:38:26.431195
