brand,website,instagram,segment,segment_label,city,state,capacity,active_ads,destination,spend_est,score,pitch_fit,leak,ad_library_link,google_ads_link,pm_surya_ghar_vendor_check,data_source,verify,day_found,found_at
UTL Solar,utlsolar.com,@utlsolar,C,D2C solar products,New Delhi,Delhi,1-10 kW,8,Website,<1L/mo,4,"HIGH - D2C performance-led, judges you on CPL/ROAS",Amazon/Flipkart listings not linked from ads (trust gap),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=UTL+Solar,https://adstransparency.google.com/?region=IN&domain=utlsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804258
Jakson Solar,jaksonsolar.com,@jakson_solar,B,B2B / C&I rooftop EPC,Noida,Uttar Pradesh,all,26,Phone Call,20L+/mo,4,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No LinkedIn ABM layer while running broad Meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Jakson+Solar,https://adstransparency.google.com/?region=IN&domain=jaksonsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804313
Sungrow India,sungrowpower.com,@sungrow,B,B2B / C&I rooftop EPC,Bengaluru,Karnataka,inverters,27,Phone Call,3-8L/mo,4,"LOW - in-house team, do not cold pitch",No ROI / payback calculator gated behind form on site,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Sungrow+India,https://adstransparency.google.com/?region=IN&domain=sungrowpower.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804369
Fenice Energy,feniceenergy.com,@feniceenergy,R,Residential rooftop EPC,Chennai,Tamil Nadu,3-5 kW,23,Website,3-8L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",No EMI or subsidy explainer above the fold,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Fenice+Energy,https://adstransparency.google.com/?region=IN&domain=feniceenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804423
Amp Energy India,ampenergyindia.com,@ampenergyindia,B,B2B / C&I rooftop EPC,New Delhi,Delhi,1 MW+,17,Lead Form,20L+/mo,6,"LOW - in-house team, do not cold pitch",Ads target homeowners while also bidding on C&I keywords - wasted budget,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Amp+Energy+India,https://adstransparency.google.com/?region=IN&domain=ampenergyindia.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804479
V-Guard Solar,vguard.in,@vguardindia,C,D2C solar products,Kochi,Kerala,1-10 kW,22,Lead Form,1-3L/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",No COD / EMI visibility in ads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=V-Guard+Solar,https://adstransparency.google.com/?region=IN&domain=vguard.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804535
Loom Solar,loomsolar.com,@loomsolar,C,D2C solar products,Faridabad,Haryana,1-10 kW,26,Lead Form,3-8L/mo,7,"LOW - in-house team, do not cold pitch",Amazon/Flipkart listings not linked from ads (trust gap),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Loom+Solar,https://adstransparency.google.com/?region=IN&domain=loomsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804630
Radiance Renewables,radiancerenewables.com,@radiance_renewables,B,B2B / C&I rooftop EPC,Mumbai,Maharashtra,1 MW+,51,Lead Form,1-3L/mo,6,"LOW - in-house team, do not cold pitch",Ads target homeowners while also bidding on C&I keywords - wasted budget,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Radiance+Renewables,https://adstransparency.google.com/?region=IN&domain=radiancerenewables.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804692
Emmvee Solar,emmvee.com,@emmveesolar,C,D2C solar products,Bengaluru,Karnataka,1-100 kW,18,WhatsApp,8-20L/mo,9,"HIGH - D2C performance-led, judges you on CPL/ROAS",Zero UGC / unboxing reels - all studio product shots,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Emmvee+Solar,https://adstransparency.google.com/?region=IN&domain=emmvee.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804751
Exide Solar,exideindustries.com,@exideindustries,C,D2C solar products,Kolkata,West Bengal,1-10 kW,39,Phone Call,3-8L/mo,7,"LOW - in-house team, do not cold pitch",Product page has no subsidy eligibility note for residential buyers,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Exide+Solar,https://adstransparency.google.com/?region=IN&domain=exideindustries.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804853
SunSource Energy,sunsourceenergy.com,@sunsourceenergy,B,B2B / C&I rooftop EPC,Noida,Uttar Pradesh,100 kW-10 MW,45,WhatsApp,<1L/mo,6,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No case-study PDF or site-survey scheduler for facility heads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=SunSource+Energy,https://adstransparency.google.com/?region=IN&domain=sunsourceenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804935
MYSUN,mysun.co,@mysunindia,R,Residential rooftop EPC,New Delhi,Delhi,3-10 kW,3,WhatsApp,20L+/mo,4,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",Google reviews strong but not shown in creatives,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=MYSUN,https://adstransparency.google.com/?region=IN&domain=mysun.co,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.804996
Adani Solar,adanisolar.com,@adanisolar,B,B2B / C&I rooftop EPC,Ahmedabad,Gujarat,all,26,Phone Call,1-3L/mo,4,"LOW - in-house team, do not cold pitch",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Adani+Solar,https://adstransparency.google.com/?region=IN&domain=adanisolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805062
Sunlit Future,sunlitfuture.com,@sunlitfuture,R,Residential rooftop EPC,Auroville,Tamil Nadu,1-10 kW,16,Lead Form,1-3L/mo,9,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",Runs generic 'Save electricity' ads - no PM Surya Ghar subsidy hook,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Sunlit+Future,https://adstransparency.google.com/?region=IN&domain=sunlitfuture.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805118
Shakti Pumps Solar,shaktipumps.com,@shaktipumps,B,B2B / C&I rooftop EPC,Pithampur,Madhya Pradesh,solar pump,30,Website,3-8L/mo,4,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No ROI / payback calculator gated behind form on site,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Shakti+Pumps+Solar,https://adstransparency.google.com/?region=IN&domain=shaktipumps.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805181
ZunRoof,zunroof.com,@zunroof,R,Residential rooftop EPC,Gurugram,Haryana,2-10 kW,23,Lead Form,20L+/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply","Static poster creatives only - stock images, no roof before/after",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=ZunRoof,https://adstransparency.google.com/?region=IN&domain=zunroof.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805238
Racold Solar,racold.com,@racoldindia,C,D2C solar products,Mumbai,Maharashtra,solar water heater,35,WhatsApp,1-3L/mo,7,"LOW - in-house team, do not cold pitch",No retargeting for cart abandoners (solar products have 30-60 day cycle),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Racold+Solar,https://adstransparency.google.com/?region=IN&domain=racold.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805291
Premier Energies,premierenergies.in,@premierenergies,B,B2B / C&I rooftop EPC,Hyderabad,Telangana,all,53,Phone Call,8-20L/mo,4,"LOW - in-house team, do not cold pitch",Ads target homeowners while also bidding on C&I keywords - wasted budget,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Premier+Energies,https://adstransparency.google.com/?region=IN&domain=premierenergies.in,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805402
Sunsure Energy,sunsureenergy.com,@sunsureenergy,B,B2B / C&I rooftop EPC,New Delhi,Delhi,100 kW-10 MW,16,Phone Call,20L+/mo,4,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",Zero case-study / kW-installed proof in ads - C&I buyers need references,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Sunsure+Energy,https://adstransparency.google.com/?region=IN&domain=sunsureenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805461
Arka Energy,arkaenergy.com,@arkaenergy,R,Residential rooftop EPC,Bengaluru,Karnataka,3-10 kW,27,Lead Form,8-20L/mo,7,"HIGH - owner-led local EPC, lead volume = revenue, fast reply","Owned by one founder page - no dedicated solar brand page, thin social proof",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Arka+Energy,https://adstransparency.google.com/?region=IN&domain=arkaenergy.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805516
Nuetech Solar,nuetechsolar.com,@nuetechsolar,C,D2C solar products,Bengaluru,Karnataka,solar water heater,35,Lead Form,20L+/mo,7,"HIGH - D2C performance-led, judges you on CPL/ROAS",Shipping/delivery timeline hidden - key objection unanswered,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Nuetech+Solar,https://adstransparency.google.com/?region=IN&domain=nuetechsolar.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805609
Hero Future Energies,herofutureenergies.com,@herofutureenergies,B,B2B / C&I rooftop EPC,New Delhi,Delhi,1 MW+,23,Website,<1L/mo,4,"LOW - in-house team, do not cold pitch",No LinkedIn ABM layer while running broad Meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Hero+Future+Energies,https://adstransparency.google.com/?region=IN&domain=herofutureenergies.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805680
Servotech Renewable,servotechindia.com,@servotechindia,B,B2B / C&I rooftop EPC,New Delhi,Delhi,all,42,Website,1-3L/mo,4,"MEDIUM - C&I, longer cycle, needs case-study + ABM angle",No case-study PDF or site-survey scheduler for facility heads,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Servotech+Renewable,https://adstransparency.google.com/?region=IN&domain=servotechindia.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805737
Oorjan Cleantech,oorjan.com,@oorjan_cleantech,R,Residential rooftop EPC,Mumbai,Maharashtra,3-10 kW,6,Lead Form,<1L/mo,6,"HIGH - owner-led local EPC, lead volume = revenue, fast reply",Google reviews strong but not shown in creatives,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Oorjan+Cleantech,https://adstransparency.google.com/?region=IN&domain=oorjan.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805791
Solar Universe India,solaruniverseindia.com,@solaruniverseindia,C,D2C solar products,New Delhi,Delhi,1-10 kW,3,Lead Form,8-20L/mo,4,"HIGH - D2C performance-led, judges you on CPL/ROAS",No bundle pricing (panel + inverter + battery) in ad copy,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Solar+Universe+India,https://adstransparency.google.com/?region=IN&domain=solaruniverseindia.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805845
Livguard Solar,livguard.com,@livguard,C,D2C solar products,Gurugram,Haryana,1-10 kW,1,WhatsApp,<1L/mo,4,"LOW - in-house team, do not cold pitch",Shipping/delivery timeline hidden - key objection unanswered,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Livguard+Solar,https://adstransparency.google.com/?region=IN&domain=livguard.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805899
Waaree Energies,waaree.com,@waareeenergies,B,B2B / C&I rooftop EPC,Mumbai,Maharashtra,all,30,Phone Call,<1L/mo,4,"LOW - in-house team, do not cold pitch",Ads target homeowners while also bidding on C&I keywords - wasted budget,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Waaree+Energies,https://adstransparency.google.com/?region=IN&domain=waaree.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.805953
Sudarshan Saur,sudarshansaur.com,@sudarshansaur,C,D2C solar products,Pune,Maharashtra,solar water heater,4,Lead Form,1-3L/mo,6,"HIGH - D2C performance-led, judges you on CPL/ROAS",Product page has no subsidy eligibility note for residential buyers,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=IN&search_type=keyword_unordered&q=Sudarshan+Saur,https://adstransparency.google.com/?region=IN&domain=sudarshansaur.com,https://pmsuryaghar.gov.in/ (verify empanelled vendor status),seed-real,check Meta Ad Library before outreach,1,2026-09-14T06:02:34.806007
